number of connected components with a diameter of
  0; 184869
  1; 135361
  2; 35801
  3; 11331
  4; 2877
  5; 1351
  6; 3914
  7; 641
  8; 257
  9; 177
  10; 118
  11; 68
  12; 63
  13; 32
  14; 15
  15; 67
  16; 44
  17; 15
  18; 43
  19; 53
  20; 23
  21; 56
  22; 22
  23; 9
  24; 5
  25; 4
  26; 2
  27; 3
  29; 1
  33; 1
  34; 2
  35; 1
  36; 3
  46; 1
  49; 1
  57; 1
  83; 1
  92; 1

number of connected components with a number of vertices of
  1; 184869
  2; 105646
  3; 40976
  4; 14820
  5; 8523
  6; 7247
  7; 2654
  8; 1672
  9; 1552
  10; 1278
  11; 181
  12; 1534
  13; 2200
  14; 1163
  15; 513
  16; 223
  17; 72
  18; 265
  19; 47
  20; 125
  21; 132
  22; 39
  23; 14
  24; 178
  25; 104
  26; 112
  27; 104
  28; 69
  29; 32
  30; 62
  31; 7
  32; 22
  33; 19
  34; 10
  35; 21
  36; 43
  37; 12
  38; 13
  39; 17
  40; 33
  41; 5
  42; 17
  43; 13
  44; 2
  45; 21
  46; 2
  47; 6
  48; 43
  49; 3
  50; 32
  51; 6
  52; 6
  53; 2
  54; 7
  55; 8
  56; 5
  57; 6
  58; 5
  59; 3
  60; 25
  61; 2
  62; 3
  63; 3
  64; 2
  65; 16
  66; 1
  68; 2
  70; 4
  71; 1
  72; 2
  73; 1
  75; 11
  76; 1
  77; 3
  78; 2
  79; 1
  80; 2
  82; 1
  84; 20
  86; 2
  88; 3
  89; 8
  90; 2
  91; 1
  92; 2
  93; 4
  95; 3
  96; 15
  100; 3
  103; 2
  105; 2
  107; 2
  108; 3
  110; 1
  113; 1
  115; 1
  119; 1
  120; 13
  123; 1
  125; 2
  130; 4
  132; 3
  134; 9
  139; 1
  141; 1
  144; 6
  145; 1
  151; 3
  155; 20
  156; 1
  158; 1
  160; 2
  162; 1
  168; 25
  171; 9
  177; 2
  180; 4
  181; 1
  188; 1
  191; 2
  192; 1
  197; 1
  201; 2
  202; 1
  207; 1
  210; 19
  212; 1
  228; 1
  229; 1
  233; 20
  240; 2
  248; 2
  252; 3
  253; 2
  265; 1
  268; 2
  272; 1
  274; 1
  280; 1
  282; 3
  284; 1
  289; 1
  300; 4
  304; 1
  310; 13
  336; 2
  342; 1
  344; 1
  351; 1
  375; 1
  390; 1
  400; 1
  404; 1
  416; 1
  420; 14
  464; 1
  465; 3
  466; 13
  468; 1
  498; 1
  507; 1
  522; 3
  558; 1
  574; 1
  606; 1
  611; 1
  620; 1
  630; 3
  699; 3
  721; 1
  775; 1
  840; 1
  850; 1
  854; 1
  857; 1
  872; 1
  932; 1
  975; 2
  997; 1
  1050; 1
  1124; 1
  1165; 1
  1507; 1
  1931; 1
  2020; 1
  2451; 1
  3008; 1
  6321; 1
  11613; 1
  15249; 1
  16698; 1
